Country,GDP per capita (USD),Life satisfaction
South Africa,13311.926,4.9
Brazil,14592.353,6.1
Colombia,14648.592,5.7
Mexico,19086.105,6.0
Costa Rica,21199.281,6.3
Chile,25449.13,6.2
Russia,27960.102,5.5
Greece,29548.04,5.8
Latvia,32081.455,6.2
Hungary,33593.152,6.0
Portugal,33674.527,5.8
Poland,34915.523,6.1
Spain,37913.074,6.5
Estonia,38717.695,6.5
Lithuania,39305.613,6.4
Slovenia,40036.484,6.5
Czechia,40740.992,6.9
Japan,40784.383,6.1
Italy,41929.43,6.5
Israel,42061.242,7.2
New Zealand,42915.453,7.3
United Kingdom,44978.715,6.8
France,44993.125,6.7
Canada,47892.945,7.0
Finland,48753.355,7.9
Australia,49774.34,7.1
Belgium,51739.54,6.8
Germany,53179.656,7.3
Iceland,53586.156,7.6
Sweden,53613.42,7.3
Austria,54121.145,7.2
Netherlands,56617.35,7.5
Denmark,57962.652,7.5
United States,63669.71,7.0
Norway,65662.17,7.3
Switzerland,71032.84,7.5
Ireland,102496.22,7.0
Luxembourg,115683.49,7.4
